[DEBUG] [2021-07-02 11:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f1c435887483407a92ec1550ef5e03eb, msgType : 19
[DEBUG] [2021-07-02 11:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7c56b04968264b9181a9517ed16cc932, msgType : 19
[DEBUG] [2021-07-02 11:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8be4ee31b0b94142b01f2e2fee439b9d, msgType : 19
[DEBUG] [2021-07-02 11:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ad388c78ee4b4cc39b6b2b541439b65e, msgType : 19
[DEBUG] [2021-07-02 11:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d3fd5ad13cbd4b078ac8ce4a6ab37405, msgType : 19
[DEBUG] [2021-07-02 11:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 824a38a3d1b74cdfb178b746ed19253e, msgType : 19
[DEBUG] [2021-07-02 11:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : eccb0b3420974ef196bf28d1f312a04c, msgType : 18
[DEBUG] [2021-07-02 11:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b49d00bfc0df4143a75a21a170da7a0c, msgType : 18
[DEBUG] [2021-07-02 11:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ea7ae739f7474385b5e5a2643a3a7011, msgType : 19
[DEBUG] [2021-07-02 11:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9ec74a86ef8441f3b625a0a40d23db7a, msgType : 19
