[INFO] [2021-06-30 13:54:19] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:03:03', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":2,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:03:03","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-06-30 13:54:19] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f289c86a4a264646ab2d9065e6184322, msgType : 20
[INFO] [2021-06-30 13:54:19] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20200, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-06-30 13:54:19] GetNodeVersionHandler.onConnect(38) | GetNodeVersionHandler: onConnect, endpoint: 127.0.0.1:20200
[INFO] [2021-06-30 13:54:19] AmopMsgHandler.onConnect(76) | Node connected, update topics to node. node:127.0.0.1:20200
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3076bd94e40740d1af45f868e3815e60, msgType : 18
[DEBUG] [2021-06-30 13:54:19] GroupServiceImpl.<init>(45) | insert group: 1 for peer 127.0.0.1:20200
[DEBUG] [2021-06-30 13:54:19] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20200, groupInfo: [1]
[DEBUG] [2021-06-30 13:54:19] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20200, topic: _block_notify_1
[INFO] [2021-06-30 13:54:19] AmopImp.sendSubscribe(216) | update subscribe inform 1 peers
[DEBUG] [2021-06-30 13:54:19] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-06-30 13:54:19] GroupManagerServiceImpl.getAndUpdateBlockNumberForAllPeers(528) | g: 1, getAndUpdateBlockNumberForAllPeers, group availablePeers:[127.0.0.1:20200]
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f83568412c9944f19e9233686218be95, msgType : 18
[DEBUG] [2021-06-30 13:54:19] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 149, groupId: 1
[DEBUG] [2021-06-30 13:54:19] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 149, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-06-30 13:54:19] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20200, blockNumber: 149
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : abd152bcb97b46c8936e7b2ca343683b, msgType : 18
[DEBUG] [2021-06-30 13:54:19] SslHandler.setHandshakeSuccess(1746) | [id: 0x4abe8fcb, L:/127.0.0.1:48486 - R:/127.0.0.1:20201] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[INFO] [2021-06-30 13:54:19] ConnectionManager.reconnect(197) |  reconnect to 127.0.0.1:20201 success
[INFO] [2021-06-30 13:54:19] ChannelHandler.userEventTriggered(73) |  handshake success, host: 127.0.0.1, port: 20201, ctx: 747394817
[DEBUG] [2021-06-30 13:54:19] ConnectionManager.addConnectionContext(427) | addConnectionContext, endpoint: 127.0.0.1:20201, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0x4abe8fcb, L:/127.0.0.1:48486 - R:/127.0.0.1:20201])
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ca3fae7818d94133af10bd70ef6c3a26, msgType : 18
[INFO] [2021-06-30 13:54:19] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:03:03', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":3,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:03:03","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-06-30 13:54:19] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 05dbcd145ba242189ab7a6643bf3b014, msgType : 20
[INFO] [2021-06-30 13:54:19] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20201, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-06-30 13:54:19] GetNodeVersionHandler.onConnect(38) | GetNodeVersionHandler: onConnect, endpoint: 127.0.0.1:20201
[INFO] [2021-06-30 13:54:19] AmopMsgHandler.onConnect(76) | Node connected, update topics to node. node:127.0.0.1:20201
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 273c13715810415798c9f2a8bafb017d, msgType : 18
[DEBUG] [2021-06-30 13:54:19] GroupServiceImpl.insertNode(84) | g:1, insertNode=127.0.0.1:20201, nodeSize=2, blockNumberInfoSize=1
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 44e41a09028f4fbe80bff790e3b95a43, msgType : 18
[DEBUG] [2021-06-30 13:54:19] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 149, groupId: 1
[DEBUG] [2021-06-30 13:54:19] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 149, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-06-30 13:54:19] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20201, blockNumber: 149
[DEBUG] [2021-06-30 13:54:19] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20201, groupInfo: [1]
[DEBUG] [2021-06-30 13:54:19] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20201, topic: _block_notify_1
[INFO] [2021-06-30 13:54:19] AmopImp.sendSubscribe(216) | update subscribe inform 2 peers
[DEBUG] [2021-06-30 13:54:19] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-06-30 13:54:19] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f4921fa9c3694da0a60818fb68619011, msgType : 18
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c380aaaeeb2f46808cd8a8d18e0a5bdb, msgType : 19
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9675ef6af64c4ab19324fed48ea76c44, msgType : 19
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 32227ebd86ad40fb9ca36fe552834486, msgType : 18
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fa623b5bbbed446aa998810f46d34527, msgType : 18
[DEBUG] [2021-06-30 13:54:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 75248dc70138428d8f4c5fffdc202343, msgType : 19
[DEBUG] [2021-06-30 13:54:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3c19d930171f44b8ae4a78d8a265dc90, msgType : 19
[DEBUG] [2021-06-30 13:54:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5c08cc7813d6490fbfc764581d13c3e0, msgType : 19
[DEBUG] [2021-06-30 13:54:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ca9c117e20a444778b449616e8e33f8c, msgType : 19
[DEBUG] [2021-06-30 13:54:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : acd7f9625fe74b4199f07d7101225681, msgType : 19
[DEBUG] [2021-06-30 13:54:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4a6ed293ada8495487f654b3e07ee180, msgType : 19
[DEBUG] [2021-06-30 13:54:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : edaa0e6ba26f4229a6a29f9027eb718d, msgType : 19
[DEBUG] [2021-06-30 13:54:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b5cd4f6c46964577901a7dccef7aed1e, msgType : 19
[DEBUG] [2021-06-30 13:54:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1b0ef35b696f409ba30db57dfe5eb828, msgType : 19
[DEBUG] [2021-06-30 13:54:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f8cddff0de914eab8b30ab2f55016c39, msgType : 19
[DEBUG] [2021-06-30 13:54:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 576ce1b0b0dc42b9a54951040bd6bc99, msgType : 19
[DEBUG] [2021-06-30 13:54:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4deb35b1f92a4d95bf69356a40fff3da, msgType : 19
[DEBUG] [2021-06-30 13:54:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7ee3b55503a34f12b0aae179f33b0aeb, msgType : 19
