[DEBUG] [2021-07-10 18:12:05] GroupServiceImpl.removeNode(67) | g:1, removeNode=127.0.0.1:20200, blockNumberInfoSize=1, latestBlockNumber:99
[DEBUG] [2021-07-10 18:12:05] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2021-07-10 18:12:05] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 127.0.0.1:20201
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[DEBUG] [2021-07-10 18:12:05] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20200, groupInfo: [1]
[DEBUG] [2021-07-10 18:12:05] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20200, topic: _block_notify_1
[INFO] [2021-07-10 18:12:05] AmopImp.sendSubscribe(216) | update subscribe inform 0 peers
[DEBUG] [2021-07-10 18:12:05] GroupServiceImpl.removeNode(67) | g:1, removeNode=127.0.0.1:20201, blockNumberInfoSize=0, latestBlockNumber:0
[DEBUG] [2021-07-10 18:12:05] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20201, groupInfo: [1]
[DEBUG] [2021-07-10 18:12:05] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20201, topic: _block_notify_1
[INFO] [2021-07-10 18:12:05] AmopImp.sendSubscribe(216) | update subscribe inform 0 peers
[ERROR] [2021-07-10 18:12:16] ResponseCallback.onTimeout(39) | Processing message timeout:{}
[ERROR] [2021-07-10 18:12:16] JsonRpcService.parseResponseIntoJsonRpcResponse(218) | parseResponseIntoJsonRpcResponse failed, method: getGroupList, group: null, seq: null, retErrorMessage: Processing message timeout, retErrorCode: 102
[WARN] [2021-07-10 18:12:16] GroupManagerServiceImpl.fetchGroupList(781) | fetchGroupList from 127.0.0.1:20200 failed, error info: get response failed, errorCode:102, error message:Processing message timeout
[WARN] [2021-07-10 18:12:16] ChannelImp.asyncSendToPeer(310) | send message with seq d8e2b5b56a1e4bdf9cfa6c1615b0c472 to 127.0.0.1:20201 failed 
[ERROR] [2021-07-10 18:12:16] JsonRpcService.parseResponseIntoJsonRpcResponse(218) | parseResponseIntoJsonRpcResponse failed, method: getGroupList, group: null, seq: d8e2b5b56a1e4bdf9cfa6c1615b0c472, retErrorMessage: Send message 127.0.0.1:20201 failed for connect failed, current available peers: [], retErrorCode: -5001
[WARN] [2021-07-10 18:12:16] GroupManagerServiceImpl.fetchGroupList(781) | fetchGroupList from 127.0.0.1:20201 failed, error info: get response failed, errorCode:-5001, error message:Send message 127.0.0.1:20201 failed for connect failed, current available peers: []
[INFO] [2021-07-10 18:12:25] ConnectionManager.reconnect(197) |  reconnect to 127.0.0.1:20200 success
[DEBUG] [2021-07-10 18:12:25] SslHandler.setHandshakeSuccess(1746) | [id: 0x90e3bf1d, L:/127.0.0.1:62033 - R:/127.0.0.1:20200] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[INFO] [2021-07-10 18:12:25] ChannelHandler.userEventTriggered(73) |  handshake success, host: 127.0.0.1, port: 20200, ctx: 1674246621
[DEBUG] [2021-07-10 18:12:25] ConnectionManager.addConnectionContext(427) | addConnectionContext, endpoint: 127.0.0.1:20200, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0x90e3bf1d, L:/127.0.0.1:62033 - R:/127.0.0.1:20200])
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cba531bb0c3e40e88934303da9731368, msgType : 18
[INFO] [2021-07-10 18:12:25] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:15:37', buildType='Darwin/appleclang/RelWithDebInfo', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":10,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:15:37","Build Type":"Darwin/appleclang/RelWithDebInfo","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-07-10 18:12:25] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5cafc26169304395825ae13d1a27a6dc, msgType : 20
[INFO] [2021-07-10 18:12:25] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20200, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-07-10 18:12:25] GetNodeVersionHandler.onConnect(38) | GetNodeVersionHandler: onConnect, endpoint: 127.0.0.1:20200
[INFO] [2021-07-10 18:12:25] AmopMsgHandler.onConnect(76) | Node connected, update topics to node. node:127.0.0.1:20200
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d521ce20946b48c4b3b77c9969c2cc93, msgType : 18
[DEBUG] [2021-07-10 18:12:25] GroupServiceImpl.<init>(45) | insert group: 1 for peer 127.0.0.1:20200
[DEBUG] [2021-07-10 18:12:25] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20200, groupInfo: [1]
[DEBUG] [2021-07-10 18:12:25] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20200, topic: _block_notify_1
[INFO] [2021-07-10 18:12:25] AmopImp.sendSubscribe(216) | update subscribe inform 1 peers
[DEBUG] [2021-07-10 18:12:25] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-07-10 18:12:25] GroupManagerServiceImpl.getAndUpdateBlockNumberForAllPeers(528) | g: 1, getAndUpdateBlockNumberForAllPeers, group availablePeers:[127.0.0.1:20200]
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a27598608a8540bc8249038ab4bde765, msgType : 18
