[DEBUG] [2021-07-10 14:00:30] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.UserController#signup(String, String, int, String)
[INFO] [2021-07-10 14:00:30] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x1dbcb18407f9ba36e77d14298dda3bc55a0eb2bb
[DEBUG] [2021-07-10 14:00:30] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-10 14:00:30] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-10 14:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 52ff2043e0164bfdbafc1043e50d8bfc, msgType : 18
[DEBUG] [2021-07-10 14:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 904b7eebde5849bab6574c06aa00b7e2, msgType : 19
[DEBUG] [2021-07-10 14:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8f194ac9fa5a4e19b0bb2c75adace449, msgType : 19
[DEBUG] [2021-07-10 14:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-10 14:00:30] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-10 14:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 52ff2043e0164bfdbafc1043e50d8bfc, msgType : 4096
[DEBUG] [2021-07-10 14:00:30] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-10 14:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-10 14:00:30] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-10 14:00:30] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 58, groupId: 1
[DEBUG] [2021-07-10 14:00:30] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 58, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-10 14:00:30] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 58, groupId: 1
[DEBUG] [2021-07-10 14:00:30] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 58, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-10 14:00:30] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
