[DEBUG] [2021-07-10 13:51:34] AbstractEnvironment.setActiveProfiles(296) | Activating profiles []
[INFO] [2021-07-10 13:51:35] StartupInfoLogger.logStarting(55) | Starting DemoApplication using Java 11.0.11 on chenyuyangdeMacBook-Pro.local with PID 2229 (/Users/chenxinri/Downloads/fisco-app/build/classes/java/main started by chenyuyang in /Users/chenxinri/Downloads/fisco-app)
[DEBUG] [2021-07-10 13:51:35] StartupInfoLogger.logStarting(56) | Running with Spring Boot v2.5.1, Spring v5.3.8
[INFO] [2021-07-10 13:51:35] SpringApplication.logStartupProfileInfo(659) | No active profile set, falling back to default profiles: default
[DEBUG] [2021-07-10 13:51:35] SpringApplication.load(687) | Loading source class com.example.demo.DemoApplication
[DEBUG] [2021-07-10 13:51:35] AbstractApplicationContext.prepareRefresh(629) | Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@29a5f4e7
[DEBUG] [2021-07-10 13:51:35] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[DEBUG] [2021-07-10 13:51:35] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
[DEBUG] [2021-07-10 13:51:35] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/Users/chenxinri/Downloads/fisco-app/build/classes/java/main/com/example/demo/ApplicationContextUtil.class]
[DEBUG] [2021-07-10 13:51:35] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/Users/chenxinri/Downloads/fisco-app/build/classes/java/main/com/example/demo/client/ContractClient.class]
[DEBUG] [2021-07-10 13:51:35] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/Users/chenxinri/Downloads/fisco-app/build/classes/java/main/com/example/demo/controller/ChainController.class]
[DEBUG] [2021-07-10 13:51:35] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/Users/chenxinri/Downloads/fisco-app/build/classes/java/main/com/example/demo/controller/QueryController.class]
[DEBUG] [2021-07-10 13:51:35] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/Users/chenxinri/Downloads/fisco-app/build/classes/java/main/com/example/demo/controller/UserController.class]
[DEBUG] [2021-07-10 13:51:35] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/Users/chenxinri/Downloads/fisco-app/build/classes/java/main/com/example/demo/service/impl/ChainServiceImpl.class]
[DEBUG] [2021-07-10 13:51:35] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/Users/chenxinri/Downloads/fisco-app/build/classes/java/main/com/example/demo/service/impl/QueryServiceImpl.class]
[DEBUG] [2021-07-10 13:51:35] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/Users/chenxinri/Downloads/fisco-app/build/classes/java/main/com/example/demo/service/impl/UserServiceImpl.class]
[DEBUG] [2021-07-10 13:51:36] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
[DEBUG] [2021-07-10 13:51:36] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
[DEBUG] [2021-07-10 13:51:36] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
[DEBUG] [2021-07-10 13:51:36] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'forceAutoProxyCreatorToUseClassProxying'
[DEBUG] [2021-07-10 13:51:36] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
[DEBUG] [2021-07-10 13:51:36] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
[DEBUG] [2021-07-10 13:51:37] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[DEBUG] [2021-07-10 13:51:37] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
[DEBUG] [2021-07-10 13:51:37] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
[DEBUG] [2021-07-10 13:51:37] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
[DEBUG] [2021-07-10 13:51:37] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory'
[DEBUG] [2021-07-10 13:51:37] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
[DEBUG] [2021-07-10 13:51:37] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
[DEBUG] [2021-07-10 13:51:37] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
[DEBUG] [2021-07-10 13:51:37] UiApplicationContextUtils.initThemeSource(85) | Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@4d847d32]
[DEBUG] [2021-07-10 13:51:37] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
